Semester,Academic Year,Concert #,Performer,Date,Performer Type,Detailed Performance,Performance Type,Instrument,Index,Composer,Ugly,Composer Category,Composer Status,Arranger,Piece
Fall 2022,22-23 Academic Year,1,"Veligan, Fukasawa, & Shands",9/10/22,Faculty,Faculty Recital,Recital,,3.1,Katherine Hoover,"Hoover, Katherine",2,2,,"Images for Clarinet, Violin, and Piano (1981)"
Fall 2022,22-23 Academic Year,1,"Veligan, Fukasawa, & Shands",9/10/22,Faculty,Faculty Recital,Recital,,3.2,Galina Ustvolskaya,"Ustvolskaya, Galina",2,2,,"Trio for Clarinet, Violin, and Piano (1949)"
Fall 2022,22-23 Academic Year,1,"Veligan, Fukasawa, & Shands",9/10/22,Faculty,Faculty Recital,Recital,,3.3,Alfred Uhl,"Uhl, Alfred",1,2,,"Kleines Konzert for Viola, Clarinet, and Piano (1937; 1988)"
Fall 2022,22-23 Academic Year,2,Splinter Reeds Recital,9/16/22,Guest,Guest Artist Recital,Recital,,6.1,Mario Godoy,"Godoy, Mario",3,1,,create. process. (2018)
Fall 2022,22-23 Academic Year,2,Splinter Reeds Recital,9/16/22,Guest,Guest Artist Recital,Recital,,6.2,Michael Gordon,"Gordon, Michael",1,1,,Tall Grass (2022)
Fall 2022,22-23 Academic Year,2,Splinter Reeds Recital,9/16/22,Guest,Guest Artist Recital,Recital,,6.3,Laura Cetilia,"Cetilia, Laura",4,1,,adrift (2019)
Fall 2022,22-23 Academic Year,2,Splinter Reeds Recital,9/16/22,Guest,Guest Artist Recital,Recital,,6.4,Sam Pluta,"Pluta, Sam",1,1,,Atens (2022)
Fall 2022,22-23 Academic Year,2,Splinter Reeds Recital,9/16/22,Guest,Guest Artist Recital,Recital,,6.5,Andrew Conklin,"Conklin, Andrew",1,1,,Ground I (2022)
Fall 2022,22-23 Academic Year,2,Splinter Reeds Recital,9/16/22,Guest,Guest Artist Recital,Recital,,6.6,Niloufar Nourbakhsh,"Nourbakhsh, Niloufar",4,1,,Firing Squad (2018)
Fall 2022,22-23 Academic Year,3,Pacific Tiger Ensemble,9/17/22,Multiple,Pacific Woodwind Day,Chamber,,5.1,Edvard Grieg,"Grieg, Edvard",1,2,M. Orriss,In the Hall of the Mountain King
Fall 2022,22-23 Academic Year,3,Pacific Tiger Ensemble,9/17/22,Multiple,Pacific Woodwind Day,Chamber,,5.2,Elmer Bernstein,"Bernstein, Elmer",1,2,A. Cooper/A. Pugh,The Magnificent Seven (1960)
Fall 2022,22-23 Academic Year,3,Pacific Tiger Ensemble,9/17/22,Multiple,Pacific Woodwind Day,Chamber,,5.3,Fred Onovwerosuoke,"Onovwerosuoke, Fred",3,1,,Three Pieces for Woodwind Trio
Fall 2022,22-23 Academic Year,3,Pacific Tiger Ensemble,9/17/22,Multiple,Pacific Woodwind Day,Chamber,,5.4,Mauricio Murcia Bedoya,"Murcia Bedoya, Mauricio",3,1,,Colombian Dances
Fall 2022,22-23 Academic Year,3,Pacific Tiger Ensemble,9/17/22,Multiple,Pacific Woodwind Day,Chamber,,5.5,Marc Mellits,"Mellits, Marc",1,1,,Splinter (2014)
Fall 2022,22-23 Academic Year,4,FOCM: Adaskin String Trio,9/18/22,Guest,Chamber,Chamber,,4.1,Ludwig van Beethoven,"Beethoven, Ludwig van",1,2,,"String trio in d major, op. 9, no. 2 (1797-98)"
Fall 2022,22-23 Academic Year,4,FOCM: Adaskin String Trio,9/18/22,Guest,Chamber,Chamber,,4.2,Gideon Klein,"Klein, Gideon",1,2,,String trio (1944)
Fall 2022,22-23 Academic Year,4,FOCM: Adaskin String Trio,9/18/22,Guest,Chamber,Chamber,,4.3,Joseph Haydn,"Haydn, Joseph",,,,"String trio in d major, op. 32, no. 1, hob. xi:74"
Fall 2022,22-23 Academic Year,4,FOCM: Adaskin String Trio,9/18/22,Guest,Chamber,Chamber,,4.4,Alexis Roland-Manuel,"Roland-Manuel, Alexis",1,2,,String trio (1922)
Fall 2022,22-23 Academic Year,5,"Featuring Ashlin Parker, trumpet",9/21/22,Student,Ensemble,Ensemble,,6.1,Oliver Nelson,"Nelson, Oliver",3,2,,Critic’s Choice (1966)
Fall 2022,22-23 Academic Year,5,"Featuring Ashlin Parker, trumpet",9/21/22,Student,Ensemble,Ensemble,,6.2,Harold Battiste,"Battiste, Harold",3,2,Edward Petersen,Beautiful Old Ladies (2015)
Fall 2022,22-23 Academic Year,5,"Featuring Ashlin Parker, trumpet",9/21/22,Student,Ensemble,Ensemble,,6.3,Stevie Wonder,"Wonder, Stevie",3,1,Edward Petersen,Golden Lady (2020)
